;汉字	;希顶	备注	汉希提示	希汉提示
茏	yl3			
苫	yz2			
苜	miAy			
苴	NiAy			
苒	yr2			
苘	ju3y			
茌	ynu6V			
苻	y4i3			
苓	yli8			
茚	nu8y			
茆	ymiT			
茑	ynuL			
茓	yxuY			
茔	nu3d			
茕	78y			
茀	y4iL			
苕	sLy	sháo 用于“红苕”	红~	
苕	7iLy	tiáo		
枥	cvi6			
枇	pEc			
杪	miLc			
杳	crE			
枧	cjV			
杵	wAc			
枨	BiTc			
枞	z3c	zōng 用于“枞阳”（地名）	~阳	
枞	cD3	cōng		
枋	cfT			
杻	n6c			
杷	pac			
杼	sAc			
杼	c7L	旧拼写	-	-
矸	sgi2			
砀	tiTs			
刳	lca			
奄	y2			
瓯	467H			
殁	miot			
郏	1qa			
轭	q4e			
郅	1HY			
鸢	n7e			
盱	TyA			
昊	huLH			
昙	teb			
杲	gLb			
杲	gLc	旧拼写	-	-
昃	bHze			
昃	b5ze	旧拼写	-	-
咂	huao			
呸	opE			
昕	ki8b			
昀	53b			
旻	bwi8			
昉	bfT			
炅	bho			
咔	kao			
畀	bi6H			
虮	kjE			
咀	NiAo			
呷	4ao			
黾	ci3H			
呱	giAo	gū	~~坠地	
呱	oBa	guā		
呤	oli8H			
呤	oli8	旧拼写	-	-
咚	odi3			
咆	pLo			
咛	on8			
呶	nAo			
呣	omA			
呦	o76			
咝	nuTo			
岢	wkie			
岿	wkV			
岬	jaw			
岫	x6w			
帙	HEp			
岣	wgi6			
峁	wmiT			
刿	fiel			
迥	ju3z			
岷	wmi8			
剀	kYl			
帔	piLp			
峄	5iYw			
沓	ta			
囹	mli8			
罔	wiTH			
钍	NtA			
钎	Nq2			
钏	NgiV			
钒	f2N			
钕	NnA			
钗	DaN			
邾	1zA			
迮	zza			
牦	gmL			
竺	ruo2			
迤	toz			
佶	VNo			
佬	VlL			
佰	VbiY			
侑	yu6V			
侉	Vca			
臾	7TH			
岱	wdY			
侗	d3V	dòng 中国少数民族		
侗	Vt3	tóng 幼稚，无知	-	
侃	Vk2			
侏	VzA			
侩	VcY			
佻	tiLV			
佾	Vyue			
侪	VNL			
佼	VjL			
佯	VyuT			
侬	Vn3			
帛	me			
阜	biA			
侔	Vm6			
徂	Bi6z			
徂	Bi6V	旧拼写	-	-
刽	lcY			
郄	1lio			
怂	FD3			
籴	rAh			
瓮	7w3			
戗	qTl			
肼	eN8			
䏝	ezu2			
肽	etiY			
肱	eh3			
肫	e78			
肫	78e	旧拼写	-	-
剁	ldio			
迩	znu8			
郇	1xu8			
狙	NiAv			
狎	4av			
狍	pLv			
狒	fVv			
咎	4u6			
炙	zEx			
枭	cnuL			
饯	juYL			
饴	NiTL			
冽	Elie			
冽	ElieE	旧拼写	-	-
冼	Ex2H			
冼	Ex2E	旧拼写	-	-
庖	pL5			
疠	tvY			
疝	ts2			
疡	yTt			
兖	fv3			
妾	qY			
劾	hel			
炜	xwiV			
𬉼	xFi6			
炖	Fi8x			
炘	ki8x			
炝	qTx			
炔	juex			
泔	Eg2			
沭	EsA			
泷	El3			
泸	Eva			
泱	EyT			
泅	EF6			
泗	EHe			
泠	Eli8H			
泠	Eli8	旧拼写	-	-
泺	Ele			
泖	EmiT			
泫	xu2E			
泮	piTE			
沱	tioE			
泯	Emi8			
泓	Ehi3			
泾	j8E			
怙	fioY			
怵	YsA			
怦	Ypi8			
怛	diaY			
怏	YyT			
怍	zoY	zuò		
怍	Yza	zhà	-	
㤘	z6Y			
怩	YnE			
怫	Y4iL			
怿	5iYY			
宕	diTH			
穹	lq3			
宓	maf			
诓	icT			
诔	liVi			
诖	iBia			
诘	jei			
戾	vEH			
诙	ihV			
戽	7fio			
戽	pd6	旧拼写	-	-
郓	yu81			
衩	Dau			
祆	yuLu			-
祆	yuLt	旧拼写	-	-
祎	uwiVH			
祎	twiVH	旧拼写	-	-
祉	uHu6			
祉	tHu6	旧拼写	-	-
祇	H6u			
祇	tdiT	旧拼写	-	-
诛	izA			
诜	ix2			
诟	gi6i			
诠	iqu2			
诣	iHuL			
诤	iH8			
诧	izuY			
诨	hi8i			
诩	Fai			
戕	lpie			
戕	pgV	旧拼写	-	-
孢	VbL			
亟	4uE			
陔	gY1			
妲	diaA			
妯	ru6A			
姗	s2A			
帑	nAp			
弩	nAlH			
孥	nAV			
驽	nAg			
虱	78k			
虱	sEk	旧拼写	-	-
迦	zja			
迨	dYz			
绀	ag2			
绁	ano			
绂	fAa			
驷	gHe			
驸	g4i3			
驸	g4u3	旧拼写	-	-
绉	z6a			
绌	doa			
驿	5iYg			
骀	gtY			
甾	HuYH			
珏	3FY			
珐	hia3			
珂	3kie			
珑	3l3			
玳	3dY			
珀	po3			
顸	hi2r			
珉	3mi8			
珈	3ja			
拮	je8			
垭	dyua			
挝	wo8			
垣	f6d			
垣	gi8d	旧拼写	-	-
挞	8dia			
垤	ded			
赳	7i6D			
贲	p3H			
垱	ddT			
垌	dt3	tóng 只用于“垌冢”（地名）	~冢	
垌	d3d	dòng		
郝	hE1			
垧	dpiT			
垓	gYd			
挦	85i8			
垠	73d			
茜	y5a			
荚	yqa			
荑	yEy			
贳	xno			
荜	bEy			
莒	vioy			
茼	yt3			
茴	yfiV			
茱	yzA			
莛	yti8			
荞	yquL			
茯	y46			
荏	yru8			
荇	x8y			
荃	yqu2			
荟	yhiV			
荀	yxu8			
茗	mi8y			
荠	jEy	jì		
荠	yNL	qi 只用于“荸荠”	荸~	
茭	yjL			
茨	yHuV			
垩	4od			
荥	nu36			
荥	nu3E	旧拼写	-	-
荦	lLg			
荦	ynu6	旧拼写	-	-
荨	y5i8			
荩	yN3			
剋	lke			
荪	ysu8			
茹	yrA			
荬	ymY			
荮	yzu6a			
柰	nuYc			
栉	cjo			
柯	ckie			
柘	sEc			
栊	cl3			
柩	cj6			
枰	cpi8			
栌	cva			
柙	4ac			
枵	crL			
柚	cyu6			
枳	czE			
柞	zoc	zuò		
柞	cza	zhà 用于“柞水”（地名）	~水	
柝	cto			
栀	4u6c			
柢	cdiT			
栎	vYc			
枸	cNA	jǔ 用于“枸橼”	~橼	
枸	cgi6	gǒu		
柈	cbiT			
柁	tioc			
枷	cjaH			
柽	cBY			
剌	la			
剌	nual	旧拼写	-	-
酊	4di8			-
郦	1viY			
甭	by3			
砗	sDue			
砘	Fi8s			
砒	pEs			
砒	sbE	旧拼写	-	-
斫	sj3			
砭	bes			
砜	sf3			
奎	cV			
耷	Tda			
虺	wiYk			
殂	Bi6t			
殇	suTt			
殄	z8tH			
殆	dYt			
轱	qgA			
轲	qkie			
轳	qva			
轶	5Yq			
轸	z8q			
虿	kw2			
毖	tb6			
觇	Tz2			
尜	fHga			
尜	gaV	旧拼写	-	-
哐	ocT			
眄	Tmie			
眍	k6T			
𠳐	obT			
郢	1B8			
眇	miLT			
眊	TmL			
眈	FiYTH			
禺	7ia			
哂	o5a			
咴	ohV			
曷	he			
昴	bmiT			
昱	Fa			
昱	kEb	旧拼写	-	-
昱	yAb	旧拼写	-	-
昵	bnE			
咦	yEo			
哓	oyuL			
哔	bEo			
畎	4quV			
毗	pE4			
呲	HuLo	zǐ	-	
呲	oHV	cī		
胄	ru6e			
畋	rtie			
畈	4f2			
虼	gek			
虻	mTk			
盅	4z3			
咣	oBT			
哕	fieo			
剐	Bial			
郧	ki31H			
咻	ox6			
囿	yu6m			
咿	o5LV			
哌	opiY			
哙	ocY			
哚	odio			
咯	loo	lo	-	
咯	ceo	kǎ 用力使东西从食道或气管里出来	-	
咯	ogie	gē 咯咯笑		
咩	m1o			
咤	ozuY			
哝	on3			
哏	h8o			
哞	om6			
峙	wHuT	zhì		
峙	Haw	shì 用于“繁峙”（地名）	繁~	
峣	wyuL			
罘	4bA			
帧	pci8			
峒	wt3	tóng 用于“崆峒”	崆~	
峒	d3w	dòng		
峤	wquL	qiáo 山尖而高		
峤	jLw	jiào 山道	-	
峋	wxu8			
峥	wH8			
贶	xxu3			
钚	NbA			
钛	NtiY			
钡	bVN			
钣	b2N			
钤	q2N			
钨	NwA			
钫	NfT			
钯	paN	pá 同“钯”	-	
钯	Nba	bǎ, bā 金属元素		
氡	6di3			
氟	64iL			
牯	ggA			
郜	1giL			
秕	hbE			
秭	HYh			
竽	2yA			
笈	2Na			
笃	ruog			
笃	2ma	旧拼写	-	-
俦	VD6			
俨	VyuY			
俅	Vq6			
俪	VviY			
俪	VliY	旧拼写	-	-
叟	s6			
垡	dha			
牮	gdY			
俣	7ioV			
俚	VlE			
皈	bf2			
俑	Vyu3			
俟	VNY			
逅	zh6			
徇	zxu8			
徇	VVxu8	旧拼写	-	-
徉	zyuT			
徉	VVyuT	旧拼写	-	-
舢	qs2			
俞	7o	yú		
俞	c3H	shū	-	
郗	1xE			
俎	ciaV			
郤	yA1			
爰	yu2H			
郛	14iT			
瓴	7li8			
胨	ed3			
胪	eva			
胛	jae			
胂	es8			
胙	eza			
胍	eBa			
胗	z8e			
胝	ediT			
朐	Foe			
胫	j8e			
鸨	bEn			
匍	pAl			
狨	ru3v			
狯	vcY			
飑	bbL			
狩	vsu6			
狲	vsu8			
訇	hu3H			
逄	zjuT			
昝	H2H			
饷	LpiT			
饸	Lhie			
饹	leL			
胤	nuTe			
胤	nyue	旧拼写	-	-
孪	v2V			
娈	v2A			
弈	t5iL			
奕	f5iL			
庥	5x6			
疬	tvi6			
疣	ty6			
疥	tjeH			
疥	tje	旧拼写	-	-
疭	tD3			
庠	xT5			
竑	fh3H			
彦	7iV			
飒	sab			
闼	mdia			
闾	viom			
闿	kYm			
阂	hem			
羑	gj6			
迸	zbi3			
籼	xuoh			
酋	qu6H			
炳	bi8x			
炻	sEx			
炽	xzE			
炯	ju3x			
烀	xhiA			
炷	xka			
烃	j8x			
洱	Ere			
洹	f6E			
洧	weE			
洌	ElieH			
洌	Elie	旧拼写	-	-
浃	Eqa			
洇	Ey8			
洄	EfiV			
洙	EzA			
涎	EyY			
洎	Et1			
洫	EnV			
浍	EhiV			
洮	7LE			
洵	Exu8			
浒	EFia			
浔	E5i8			
浕	EN3			
洳	ErA			
恸	Y7i3			
恓	Y5a			
恹	yuaY			
恫	d3Y			
恺	kYY			
恻	YDe			
恂	Yxu8			
恪	ceY			
恽	yu8Y			
宥	yu6f			
扃	ju3p			
衲	nau			
衽	uru8			
衿	N3u			
袂	jueu			
祛	uqA			
祛	tqA	旧拼写	-	-
祜	fiou			
祜	fiot	旧拼写	-	-
祓	fAu			
祓	fAt	旧拼写	-	-
祚	zou			
祚	zot	旧拼写	-	-
诮	qLi			
祗	udiT			
祗	H6t	旧拼写	-	-
祢	miau			
祢	miat	旧拼写	-	-
诰	igiL			
诳	cTi			
鸩	4u8n			
昶	BiTb			
昶	bvi3	旧拼写	-	-
郡	1ju8			
咫	rzE			
咫	DzE	旧拼写	-	-
弭	lre			
牁	qkieH			
胥	xAH			
陛	1BE			
陟	4uo			
娅	Ayua			
姮	f6A			
娆	ruLA			
姝	kiVA			
姣	xLA	xiào 淫乱	-	
姣	AjL	jiāo 美好		
姘	pi8A			
姹	AzuY			
怼	dVF			
羿	NVt			
炱	xtY			
矜	N37			
绔	aca			
骁	gyuL			
骅	gfa			
绗	5ea			
绗	ahT	旧拼写	-	-
绛	ajuT			
骈	pi8g			
耖	DuL7			
挈	jqV			
挈	8qV	旧拼写	-	-
珥	3re			
珙	3gi3			
顼	rFY			
顼	fL3	旧拼写	-	-
珰	3dT			
珩	5e3			
珧	3zuL			
珣	3xu8			
珞	lo3			
琤	3H8			
珲	hV3	huī		
珲	hi83	hún 用于“珲春”	~春	
敖	4iLH			
恚	Ffe			
埔	bAd	bù 用于“大埔”	大~	
埔	pAd	pǔ 用于“黄埔”		
埕	dB8			
埘	Hod			
埙	ki3d			
埚	god			
挹	5iL8			
耆	NiLH			
耄	tmL			
耄	jmLH	旧拼写	-	-
埒	h6d			
捋	hi68			
贽	Huax			
垸	tiVd			
捃	8ju8			
盍	coH			
荸	ybo			
莆	pAy			
莳	Hoy			
莴	woy			
莪	4ioy			
莠	yxu6			
莓	ymV			
莜	y6y			
莅	viYy			
荼	tAy			
莩	y4iT			
荽	ytio			
荽	yto	旧拼写	-	-
莸	yvy6			
荻	d1y			
莘	y5i3			
莎	say			
莎	yso	suō 用于“莎草”，旧拼写	-	-
莞	wTy			
莨	yliT	liáng		
莨	lTy	làng 用于“莨菪”	~菪	
鸪	ngA			
莼	yB3			
栲	ckL			
栳	clL			
郴	li81			
桓	f6c			
桡	ruLc			
桎	cHY			
桢	cci8			
桤	kYc			
梃	cti8			
栝	ti2c	tiǎn	-	
栝	kioc	kuò	櫽~	
栝	Bac	guā		
桕	ju6c			
桁	5ec			
桧	chiV			
桅	wiVc			
栟	cbi3			
桉	cNi2H			
栩	Fac			
逑	zq6			
逋	zbiA			
彧	7aa			
鬲	BeH			
豇	juTh			
酐	4gi2			
逦	zviY			
厝	Duo5			
孬	bHL			
砝	hias			
砹	s4Y			
砺	svY			
砧	sz2			
砷	ss8			
砟	sza			
砼	s4u3			
砥	sdiT			
砣	tios			
剞	NiYl			
砻	sl3			
轼	qHT			
轾	qHY			
辂	loq			
鸫	d3n			
趸	Dw2			
龀	p6j			
鸬	nva			
虔	vwi8			
逍	zxL			
眬	Tl3H			
唛	o4uY			
晟	bD8	chéng 姓氏	-	
晟	su3b	shèng		
眩	xu2T			
眙	dYT			
哧	hEo			
哽	ogi8			
唔	owi6			
晁	bzuL			
晏	yoH			
鸮	nrL			
趵	kLD			
趿	DNa			
畛	z84			
蚨	k4ia			
蚜	kya			
蚍	pEk			
蚋	krV			
蚬	kjV			
蚝	khL			
蚝	kmL	旧拼写	-	-
蚧	kje			
唢	suoo			
圄	7Vm			
唣	viLo			
唏	oxE			
盎	4yT			
唑	ozuo			
崂	lLw			
崃	wlY			
罡	giTH			
罟	4gAH			
峪	yAw			
觊	kYT			
觊	qET	旧拼写	-	-
赅	gYx			
钰	NFY			
钲	Nz8			
钴	NgA			
钵	Nb8			
钹	Nbia			
钺	yuoN			
钽	72N			
钼	miAN			
钿	Ntie	tián		
钿	NFe	diàn		
铀	Nyu6			
铂	boN			
铄	Nle			
铆	NmiT			
铈	HTN			
铉	xu2N			
铊	tiaN	tā 金属元素		
铊	tioN	tuó 秤砣	-	
铋	Nb6			
铌	NnE			
铍	piLN			
䥽	Npio			
铎	5iYN			
氩	6yua			
氤	6y8			
氦	6hY			
毪	jm6			
舐	H6L			
秣	hmio			
秫	hsA			
盉	4fieH			
笄	2kY			
笕	2jV			
笊	2zua			
笏	hA2			
笆	2ba			
俸	Vfi3			
倩	4ue			
俵	VbiL			
偌	roV			
俳	pYV			
俶	VcL			
倬	Vzo			
倏	y6v			
恁	Vru8F			
倭	VwV			
倪	nEV			
俾	b6V			
倜	Vru6			
隼	43H			
隽	5ie			
倌	VBi2			
倥	Vk3			
臬	nVH			
皋	giLH			
郫	pT1			
倨	VjA			
衄	n6j			
颀	N6r			
徕	zlY			
徕	VVlY	旧拼写	-	-
舫	qfT			
釜	N4iA			
釜	4iAH	旧拼写	-	-
奚	5i6			
衾	qu3u			
胯	eca			
胱	eBT			
胴	d3e			
胭	y2e			
脍	ecY			
胼	pi8e			
朕	t8H			
朕	egE	旧拼写	-	-
脒	emE			
胺	eNi2			
鸱	H6n			
玺	3nu8			
鸲	FonH			
狷	ju2v			
猁	vvV			
狳	v7io			
猃	j2v			
狺	v7iY			
逖	d1z			
桀	5i2			
袅	unuL			
饽	Lbo			
凇	Es3c			
凇	Es3E	旧拼写	-	-
栾	v2c			
挛	v2j			
挛	v28	旧拼写	-	-
亳	thL			
疳	tg2			
疴	tkie			
疸	td2			
疽	NiAt			
痈	ty3			
疱	pLt			
痂	tja			
痉	j8t			
衮	B8H			
凋	diLE			
颃	rkT			
恣	HLF			
旆	pVf			
旄	fmL			
旃	fte			
旃	fteV	旧拼写	-	-
阃	c8m			
阄	BiYm			
訚	m7iY			
阆	lTm			
恙	yuTF			
粑	hba			
朔	suo			
郸	d21			
烜	f6x			
烜	gi8x	旧拼写	-	-
烨	xfa			
烩	xhiV			
烊	xyuT			
剡	lyuV			
郯	t21			
烬	xN3			
涑	Es3			
浯	Ewi6			
涞	ElY			
涟	Eli2			
娑	saA			
涅	neE			
涠	EmwiV			
浞	EB6			
涓	ju2E			
浥	5iLE			
涔	4i3E			
浜	Ebi8			
浠	ExE			
浣	huYE			
浚	ju8E			
悚	Ys3			
悭	Yko			
悝	YlE			
悒	5iLY			
悒	Y5iL	旧拼写	-	-
悌	YtE			
悛	ju8Y			
宸	fBi8			
窈	f76			
剜	lwi2			
诹	r6i			
冢	zuof			
诼	zuoi			
袒	72u			
袢	piTu			
祯	uci8			
祯	tci8	旧拼写	-	-
诿	iwV			
谀	7Ti			
谂	inu2			
谄	quai			
谇	izuV			
屐	Niap			
屙	4ep			
陬	r61			
勐	m3l			
奘	zuTf			
牂	qyuT			
蚩	HuoH			
陲	1DV			
姬	NTA			
娠	ABi8			
娌	AlE			
娉	Ap1			
娲	woA			
娩	4u2A	wǎn	-	
娩	Ami2	miǎn		
娴	x2A			
娣	AdV			
娓	Awe			
婀	4eA			
畚	ciY7			
畚	lbe	旧拼写	-	-
逡	ju8z			
绠	agi8			
骊	gviY			
绡	axL			
骋	gp1			
绥	atio			
绦	atiL			
绨	atE			
骎	q8g			
邕	w3H			
鸶	nuTn			
彗	fiVH			
耜	7NiT			
焘	FiLx			
舂	4Du8			
琏	3li2			
琇	3xu6			
麸	h4ia			
揶	ye8			
埴	dH6			
埯	4i2d			
捯	FL8			
掳	8via			
掴	8go			
埸	d5iT			
埵	dDV			
赧	4iVh			
赧	4iVD	旧拼写	-	-
埤	pTd			
捭	b68			
逵	zcV			
逵	ccV	旧拼写	-	-
埝	dnu2			
堋	b3d			
堍	dtiA			
掬	NA8			
鸷	Huan			
掖	8ye			
捽	DuV8			
掊	piV8			
堉	d7iT			
掸	d28			
捩	vE8			
掮	8quY			
悫	gAF			
悫	Fr3d	旧拼写	-	-
埭	diYd			
埽	dsL			
掇	dio8			
掼	8B2			
聃	Tr2			
菁	N8y			
萁	yqE			
菘	s3y			
堇	Ni3H			
萘	nuYy			
萋	yNiL			
菽	ycL			
菖	yDT			
萜	tiey			
萸	7Ty			
萑	zVy			
萑	lYy	旧拼写	-	-
棻	yf8c			
菔	y4iV			
菟	ytiA			
萏	quay			
萃	DuVy			
菏	yhieE			
菹	yciaE			
菪	diTy			
菅	yBi2			
菀	ywi2			
萦	nu3u			
萦	nu3a	旧拼写	-	-
菰	giAy			
菡	h2y			
梵	f2c			
梿	cli2			
梏	cgiL			
觋	Twia			
桴	c4iT			
桷	cNe			
梓	HuVc			
棁	csuV			
桫	sac			
桫	cso	旧拼写	-	-
棂	cvi8			
啬	sueH			
郾	yo1			
匮	ciVm			
敕	Huer			
豉	hHua			
鄄	7i31			
酞	4tiY			
酚	4f8			
戛	gVH			
硎	sx8l			
硭	smTy			
硒	s5a			
硖	cas			
硗	syuL			
硐	d3s			
硇	sDu3			
硌	sgie	gè 凸起的硬东西跟身体接触，使身体感到难受或受到损伤		
硌	los	luò 山上的大石	-	
鸸	nnuY			
瓠	2ca			
瓠	fiAj	旧拼写	-	-
匏	pL2			
厩	5gY			
厩	j65	旧拼写	-	-
龚	vgi3			
殒	ki3t			
殓	li2t			
殍	t4iT			
赉	xlY			
雩	wia6			
辄	zaT			
堑	qod			
眭	waT			
眦	HuLT			
啧	oze			
晡	bAb			
晤	bwi6			
眺	tiLT			
眵	Tdo			
眸	Tm6			
圊	mq8			
喏	nuoo			
喵	omiL			
啉	li8o			
勖	mLl			
晞	bxE			
唵	4i2o			
晗	bhi2			
冕	bmi2			
啭	ozu2			
畦	wa4			
趺	D4ia			
啮	orY			
跄	qTD			
蚶	h1k			
蛄	kgA			
蛎	kvY			
蛆	qek			
蚰	kyu6			
蛊	4ci3			
圉	x3m			
蚱	kza			
蛉	kli8			
蛏	kBY			
蚴	k76			
啁	oru6			
啕	tLo			
唿	hAo			
啐	DuVo			
唼	oqY			
唷	o7iT			
啖	Fieo			
啵	obio			
啶	di8o			
啷	olT			
唳	vEo			
唰	suao			
啜	oDuo			
帻	pze			
崚	vi8w			
崦	wy2			
帼	pgo			
崮	wga			
崤	wyu6x			
崆	wk3			
赇	xq6			
赈	H8x			
赈	H8xH	旧拼写	-	-
赊	xse			
铑	NlL			
铒	Nre			
铗	Nqa			
铙	ruLN			
铟	Ny8			
铠	kYN			
铡	NDe			
铢	NzA			
铣	Nx2			
铤	Nti8			
铧	Nfa			
铨	Nqu2			
铩	Nsa			
铪	haN			
铫	NzuL			
铬	Ngie			
铮	NH8			
铯	Nsue			
铰	NjL			
铱	NyE			
铳	D3N			
铵	NNi2			
铷	NrA			
氪	6ke			
牾	gwi6			
鸹	Ban			
秾	hn3			
逶	zwV			
笺	juY2			
筇	q32			
笸	2po			
笪	dia2			
笮	zo2			
笠	viY2			
笥	2Ho			
笤	7iL2			
笳	2ja			
笾	2bie			
笞	2tY			
偾	p3V			
偃	yoV			
偕	xuVV			
偈	joV			
傀	BiVV	guī	-	
傀	cVV	kuǐ		
偬	VDu3			
偻	viaV	lǚ 脊背弯曲		
偻	Vl6	lóu 用于“偻㑩”“佝偻”	~㑩 佝~	
皑	kYb			
皑	kYbw	旧拼写	-	-
皎	bjL			
鸻	5en			
徜	BTz			
徜	BTVV	旧拼写	-	-
舸	qge			
舻	qvaH			
舴	qza			
舷	xu2q			
舷	qxu2	旧拼写	-	-
龛	vhie			
翎	nli8			
脬	e4iT			
脘	wTe			
脲	enL			
匐	4iTlH			
猗	5iTv			
猡	vlo			
猞	ruev			
猝	DuVv			
斛	hA			
猕	miav			
馗	dLh			
馃	kieL			
馄	fi8L			
鸾	v2n			
孰	ciL			
庹	rdA			
庹	DdA	旧拼写	-	-
庾	7T5			
庾	7TN	旧拼写	-	-
痔	Hat			
痍	yEt			
疵	tHV			
翊	NVn			
旌	fsu3			
旎	fnE			
袤	umiY			
阇	m7ie			
阈	7am			
阉	my2			
阊	mDT			
阋	m4ie			
阍	mfi8			
阏	m7iL			
阏	76m	旧拼写	-	-
羟	F3g			
粝	hvY			
粕	boh			
敝	biTH			
焐	xwi6			
烯	xxE			
焓	xhi2			
烽	fi3x			
焖	xm8			
烷	wTx			
焗	jAx			
渍	Eze			
渚	zAE			
淇	EqE			
淅	E5io			
淞	s3E			
渎	dAE			
涿	zuoE			
淖	Ezo			
挲	saj			
挲	jso	suō，旧拼写	-	-
挲	8soH	旧拼写	-	-
淠	bi6E			
涸	Ega			
渑	ci3E			
渑	ci8E	旧拼写	-	-
淦	7i8E			
淝	EfE			
淬	DuVE			
涪	piVE			
淙	Bi3E			
涫	EBi2			
渌	ElA			
淄	HuYE			
惬	Ymqa			
悻	x3Y			
悱	YfV			
惝	BTY			
惝	tTY	旧拼写	-	-
惘	wiTY			
悸	YNio			
惆	D6Y			
惚	hAY			
惇	YF8H			
惮	d2Y			
窕	tiLf			
谌	iki2			
谏	juVi			
扈	1fio			
扈	pfio	旧拼写	-	-
皲	j58			
谑	nuei			
裆	udT			
袷	qau			
裉	k8u			
谒	52i			
谔	i4o			
谕	i7o			
谖	yu2i			
谗	Du2i			
谙	Ni2i			
谛	idE			
谝	ipi2			
逯	zlA			
郿	1miV			
隈	1wL			
粜	hDA			
隍	1fiT			
隗	wie1	wěi		
隗	cV1	kuí 姓氏	-	
婧	N8A			
婊	AbiL			
婕	juoA			
娼	ADT			
婢	b6A			
婵	D2A			
胬	nAj			
袈	uja			
翌	NVf			
恿	Fyu3			
欸	rNY			
绫	vi8a			
骐	gqE			
绮	aNi6			
绯	afV			
绱	sTa			
骒	ggio			
绲	ac8			
骓	zVg			
绶	s6a			
绺	a4u6			
绻	quoa			
绾	aBi2			
骖	gD2			
缁	HuYa			
耠	7hie			
琫	3fi3			
琵	pE3			
琵	3pE3	旧拼写	-	-
琶	pa3			
琶	pa33	旧拼写	-	-
琪	3qE			
瑛	3nu3			
琦	3Ni6			
琥	3hiL			
琨	3c8			
靓	N8TH			
靓	Tq8	旧拼写	-	-
琰	3yuV			
琮	Bi33			
琯	3Bi2			
琬	3wi2			
琛	7i23			
琚	3jA			
辇	nuVH			
鼋	vyuo			
揳	8qV			
揳	8qVH	旧拼写	-	-
堞	died			
搽	8ra			
揸	zua8			
揠	yo8			
堙	y2d			
趄	qeD			
揖	Nio8			
颉	jer	jié 用于“仓颉”	仓~	
颉	xeH	xié		
塄	l8d			
揿	8F3			
耋	det			
耋	dej	旧拼写	-	-
揄	87io			
蛩	q3k			
蛰	Huak			
塆	wi2d			
摒	8bi3			
揆	8ciV			
掾	8tV			
聒	BaT			
葑	f3y			
葚	yki2			
靰	wiYx			
靸	xNa			
葳	ywiY			
葺	Nioy			
葸	ynua			
萼	y4o			
葆	bLy			
葩	pay			
葶	yt8			
蒌	yl6			
萱	yxu2			
戟	hYl			
戟	hY7	旧拼写	-	-
葭	juay			
楮	Bioc			
棼	ccf8			
棼	p2c	旧拼写	-	-
椟	dAc			
棹	czoH			
椤	clo			
棰	cDV			
赍	jEx			
赍	xlY	旧拼写	-	-
椋	liTc			
椁	gioc			
椪	4u3c			
棣	diYc			
椐	cjA			
鹁	nbo			
覃	72			
酤	4gA			
酢	zo4			
酡	4Fio			
鹂	nviY			
厥	jue			
殚	d2t			
殛	t4uE			
雯	6wi8			
雱	6fT			
辊	Bi8q			
辋	wiTq			
椠	qoc			
辍	qDuo			
辎	HuYq			
斐	rfV			
睄	suLT			
睑	j2T			
睇	TdV			
睃	soT			
戢	Niol			
喋	dieo			
嗒	dao	dā		
嗒	7iao	tà 用于“嗒然”（懊丧的样子）	~然	
喃	on2			
喱	o5lE			
喹	ocV			
晷	b4u6			
晷	BYb	旧拼写	-	-
喈	xuVo			
跖	sED			
跗	D4i3			
跞	vYD			
跞	lYD	旧拼写	-	-
跚	s2D			
跎	tioD			
跏	Dja			
跆	DtY			
蛱	cak			
蛲	ruLk			
蛭	kHY			
蛳	knuV			
蛐	kFE			
蛔	kfiV			
蛞	kfL			
蛴	jEk			
蛟	kjL			
蛘	kyuT			
喁	o7ia			
喟	owie			
啾	oqu6			
嗖	os6			
喑	o73			
嗟	oDo			
喽	ol6			
嗞	oHuY			
喀	ocef			
喔	owio			
喙	otV			
嵘	wru3			
嵖	wDua			
崴	wwiY			
遄	DuYz			
詈	47iY			
嵎	w7ia			
崽	suYw			
嵬	BiVw			
嵛	w7o			
嵯	wDo			
嵝	wl6			
嵫	wHuY			
幄	pwio			
嵋	wmiV			
赕	Fiex			
赕	xyuV	旧拼写	-	-
铻	Nwi6			
铼	NlY			
铿	Nko			
锃	NB8			
锂	NlE			
锆	NgiL			
锇	4ioN			
锉	DoN			
锏	Nj2			
锑	NtE			
锒	lTN			
锔	jAN			
锕	N4a			
掣	Duej			
掣	Due8	旧拼写	-	-
矬	Do7			
氰	6q8			
毳	HqL			
毳	jqL	旧拼写	-	-
毽	jjuY			
犊	dAg			
犄	NiYg			-
犋	g5iV			
鹄	ngiL			
犍	gjuY			
嵇	wHjE			
嵇	hjEw	旧拼写	-	-
黍	co			
稃	h4iT			
稂	lTh			
筚	bE2			
筵	2yY			
筌	2qu2			
傣	tYV			
傈	VviL			
舄	xox			
牍	dAp			
傥	dTV			
傧	Vbi8			
遑	zfiTH			
遑	zfiT	旧拼写	-	-
傩	Vt2			
遁	F8zH			
遁	F8z	旧拼写	-	-
徨	zfiT			
徨	VVfiT	旧拼写	-	-
媭	A4uT			
畲	4se			
弑	tHT			
颌	rhie			
翕	5ioH			
釉	hyu6			
鹆	yAn			
舜	su8f			
貂	vdiL			
腈	N8e			
腌	ey2			
腓	efV			
腆	7ee			
腴	7Te			
腑	e4io			
腚	di8e			
