;汉字	;希顶	备注	汉希提示	希汉提示
沈	4u8E			
沉	r3E			
沁	E53			
怀	fYY			
忧	n6			
忧	Yy6	旧拼写	-	-
忱	4u8Y			
快	cYY			
完	wTH			
宋	Hs3			
宋	fmiA	旧拼写	-	-
宏	fh3			
牢	fnu6			
究	fju6			
穷	q3			
灾	zYx			
良	liT			
证	iz8			
启	qua			
评	ipi8			
补	bAu			
补	biAu	旧拼写	-	-
初	B6H			
初	udL	旧拼写	-	-
社	utA			
社	ttA	旧拼写	-	-
祀	u4uV			
祀	t4uV	旧拼写	-	-
识	izE			
诈	iza			
诉	ito			
罕	hi2f			
诊	z8i			
词	iHo			
译	5iYi			
君	ju8			
灵	vi8			
即	NiY			
层	D8p			
屁	pEp			
尿	nL			
尾	we			
迟	z56			
迟	DEz	旧拼写	-	-
局	jAH			
改	rgiY			
张	lzT			
忌	FNia			
际	No1			
陆	va1			
陆	1vie	旧拼写	-	-
阿	4a	ā		
阿	4eH	ē 山陵；迎合；偏袒；排泄大小便	~弥陀佛 ~房宫 东~ ~谀 ~胶 ~金溺银	
陈	1d3			
阻	cia1			
附	14i3			
坠	dFV			
妓	NiaA			
妙	miLA			
妖	yuLA			
姊	HYA			
妨	AfT			
妒	Afio			
努	nAl			
忍	Fr8			
劲	j8l			
矣	NY			
鸡	n5i6			
纬	awiV			
驱	gFi6			
纯	B3			
纱	saa			
纲	agT			
纳	naa			
驳	p1H			
纵	z3a			
纷	af8			
纸	H6a			
纹	awi8			
纺	afT			
驴	gva			
驴	vag	旧拼写	-	-
纽	n6a			
奉	fi3			
玩	ru23			
环	fi23			
武	w6H			
青	q8			
责	ze			
现	3jV			
玫	me3			
表	biL			
规	kVH			
抹	8mio			
卦	Bia			
坷	dkie			
坯	dpE			
拓	sE8			
拢	8l3			
拔	8bia			
坪	dpi8			
拣	ve8			
坦	72d			
担	8d2			
坤	ds8			
押	4ia8			
抽	ki68			
拐	8BiY			
拖	to8			
者	7ie			
拍	piY8			
顶	rdi8			
拆	8to			
拎	8li8			
拥	y38			
拥	8y3	旧拼写	-	-
抵	8diT			
拘	8NA			
势	Hual			
抱	8bL			
拄	8ka			
垃	lad			
拉	la8			
拦	l28			
拦	8l2	旧拼写	-	-
幸	x3H			
拌	8biT			
拧	8n8			
拂	84iL			
拙	8DA			
招	8zL			
坡	piod			
披	piL8			
拨	8pio			
择	ze8			
抬	8tY			
拇	8mA			
拗	876			
其	qE	qí		
其	NaH	jī	郦食~	
取	FT			
茉	ymio			
苦	kAy			
昔	5i6H			
苛	ykie			
若	roH			
茂	wiAy			
苹	ypi8			
苗	miL			
英	nu3			
苟	ygi6			
苑	tVy			
苞	ybL			
范	fe2	“範”的简化字		
范	fey	范草；地名；姓氏	~草 ~县	
范	2feq	“範”的简化字，旧拼写	-	-
范	yfeE	旧拼写	-	-
直	H6			
茁	yDA			
茄	yja			
茎	j8y			
苔	ytY			
茅	ymiY			
枉	cwT			
林	li8H			
枝	cHua			
杯	cbA			
枢	cFi6			
柜	cBiV			
柜	kVc	旧拼写	-	-
枚	mec			
析	5io			
板	b2c			
松	s3c			
枪	qTc			
枫	cf3			
构	cg6			
杭	hTc			
杰	xmiA			
述	zsA			
枕	4u8c			
丧	suTH			
或	hio			
画	faH			
卧	ci8V			
事	nYH			
事	diYo	旧拼写	-	-
刺	Huel			
枣	HueE			
雨	4iAH			
雨	HyA	旧拼写	-	-
雨	yAH	旧拼写	-	-
卖	pmY			
郁	yu61			
矾	f2s			
矿	sciT			
码	sma			
厕	5De			
奈	nuYH			
奔	b8H			
奇	NiYH	jī	~数 ~偶 ~函数	
奇	Ni6	qí		
奋	hu8H			
态	FtiY			
欧	46r			
殴	467			
垄	dl3			
妻	NiL			
轰	hu3q			
轰	3Due	旧拼写	-	-
轰	2Due2	旧拼写	-	-
顷	qu8			
转	qzu2			
斩	H2			
轮	qv8			
软	qnuY			
软	rDue	旧拼写	-	-
到	FLH			
非	fV			
叔	cL			
歧	NiaD			
肯	k8			
齿	rY			
些	pHV			
卓	zo			
虎	hiL			
虏	via			
肾	k1e			
肾	fyue	旧拼写	-	-
贤	k1x			
尚	sTH			
旺	bwT			
具	5iV			
味	owiL			
果	gio			
昆	c8			
国	go			
哎	o4Y			
咕	ogA			
昌	DT			
呵	hieo	hē		
呵	okie	kē 只用于“呵叻”	~叻	
畅	DuT4			
明	mi3			
易	5iT			
咙	ol3			
昂	4Tb			
迪	FiVz			
典	Fi2			
固	ga			
忠	Fz3			
呻	os8			
咒	HAo			
咒	oxu3	旧拼写	-	-
咋	oza			
咐	o4i3			
呼	ohiA			
鸣	onuL			
咏	ovi3			
呢	onE			
咄	doo			
咖	oja			
岸	42w			
岩	ss2			
岩	s2s	旧拼写	-	-
帖	tiep			
罗	lo			
帜	pzE			
帕	piap			
岭	wli8			
凯	kYn			
败	bVr			
账	xzT			
贩	xf2			
贬	bex			
购	xg6			
贮	xHA			
图	mb1			
图	mdi3	旧拼写	-	-
钓	NsuL			
制	DueH			
知	Ha			
迭	di2z			
氛	6f8			
垂	DV			
牧	meg			
物	gw8			
乖	HBY			
乖	4uEH	旧拼写	-	-
刮	Bal			
秆	hgi2			
和	ofie			
季	Nio			
委	wV			
秉	b1H			
佳	waV			
佳	la	旧拼写	-	-
侍	VHuT			
岳	w7Y			
供	Vgi3			
使	lYV			
例	Vlie			
侠	caV			
侥	VyuL			
版	b2p			
