巴	ba
諞	ipi2
便	pi2H
鞭	pi2x
楩	pi2c
緶	pi2a
缏	pi2a
㛹	pi2A
箯	pi22
向	piT
晌	bpiT
嚮	ppiT
响	opiT
姠	ApiT
饷	LpiT
餉	LpiT
珦	3piT
垧	dpiT
牉	piTp
跘	piTD
叛	piTr
判	piTl
畔	piT4
袢	piTu
胖	piTe
泮	piTE
眫	piTT
平	pi8
乒	opi8H
呯	opi8
泙	Epi8
怦	Ypi8
抨	8pi8
玶	3pi8
评	ipi8
評	ipi8
坪	dpi8
砰	spi8
苹	ypi8
萍	yEpi8
蚲	kpi8
鲆	Bpi8
鮃	Bpi8
枰	cpi8
胼	pi8e
洴	pi8E
姘	pi8A
聠	pi8T
拼	pi88
屏	pi8p
箳	pi8'p2
幈	pi8pp
塀	pi8pd
帡	pi8pH
瓶	pi87
硑	pi8s
荓	pi8y
骈	pi8g
駢	pi8g
庰	pi85
频	pi3
頻	pi3
𬞟	ypi3
蘋	ypi3
颦	4pi3
顰	4pi3
濒	Epi3
瀕	Epi3
蓬	pi3y
纄	pi3a
鑝	pi3N
篷	pi32
酉	piV
酒	EpiV
丑	tpiV
醜	tpiV
槱	cpiV
咅	piVH
赔	piVx
賠	piVx
菩	piVy
锫	piVN
錇	piVN
剖	piVl
培	piVd
醅	piV4
涪	piVE
婄	piVA
箁	piV2
掊	piV8
琣	piV3
陪	piV1
马	ma
馬	ma
吗	oma
嗎	oma
骂	4ma
駡	4ma
罵	4ma
妈	Ama
媽	Ama
玛	3ma
瑪	3ma
骉	3maH
驫	3maH
祃	uma
禡	uma
闯	mma
闖	mma
犸	vma
獁	vma
码	sma
碼	sma
蚂	kma
螞	kma
杩	cma
榪	cma
密	maw
蜜	mak
秘	mah
宓	maf
嘧	mao
泌	maE
谧	ma4i
謐	ma4i
莫	mo
膜	emo
嗼	omo
鄚	1mo
漠	Emo
嫫	Amo
馍	Lmo
饃	Lmo
摸	8mo
摹	8moH
谟	imo
謨	imo
暯	bmo
寞	fmo
塻	dmo
瘼	tmo
貘	vmo
蓦	gmo
驀	gmo
蟆	kmo
镆	Nmo
鏌	Nmo
模	cmo
摩	mo8
藦	mo8y
磨	mos
蘑	mosy
耱	mo7
劘	mol
魔	mot
麾	moj
帛	me
绵	ame
綿	ame
嬵	Aame
淿	Eme
婂	Ame
棉	cme
攵	meH
牧	meg
米	mE
迷	zmE
蒾	yzmE
谜	izmE
謎	izmE
醚	4zmE
敉	rmE
冞	fmE
咪	omE
脒	emE
洣	EmE
眯	TmE
麋	vmE
蘼	mEy
靡	mEt
糜	mEh
醾	mEh4
縻	mEu
母	mA
畂	4mA
亩	4mA
畆	4mA
畒	4mA
畝	4mA
呣	omA
𧿹	DmA
𬭁	NmA
鉧	NmA
坶	dmA
牳	gmA
姆	AmA
拇	8mA
慔	mAY
暮	mAb
幕	mAp
幙	mAp
墓	mAd
募	mAl
慕	mAF
模	mAc
买	mY
買	mY
卖	pmY
賣	pmY
荬	ymY
蕒	ymY
觌	TmY
覿	TmY
鷶	nmY
薶	mYy
埋	mYd
霾	mY6
毛	mL
髦	jmL
耄	tmL
芼	ymL
牦	gmL
耗	7mL
枆	cmL
旄	fmL
眊	TmL
冒	mLH
帽	mLp
媢	mLA
瑁	mL3
勖	mLl
赗	mLx
牟	m6
蛑	km6
桙	cm6
毪	jm6
哞	om6
洠	Em6
恈	Ym6
眸	Tm6
侔	Vm6
𬙊	m6a
黙	m6x
墨	m6d
默	m6v
嫼	m6A
曼	m2
缦	am2
縵	am2
漫	Em2
慢	Ym2
馒	Lm2
饅	Lm2
摱	8m2
僈	Vm2
谩	im2
謾	im2
幔	pm2
嫚	Am2
墁	dm2
獌	vm2
鬘	jm2
熳	xm2
蔓	ym2
镘	Nm2
鏝	Nm2
鳗	Bm2
鰻	Bm2
槾	cm2
𬜯	m2H
䓣	m2H
满	m2E
滿	m2E
瞒	m2T
瞞	m2T
𫞩	m23
璊	m23
暪	m2b
懑	m2F
懣	m2F
蹒	m2D
蹣	m2D
颟	m2r
顢	m2r
螨	m2k
蟎	m2k
樠	m2c
莽	mT
蟒	kmT
漭	EmT
肓	mTe
吂	mTo
邙	mT1
汒	mTE
茫	mTEy
忙	mTY
氓	mTV
盲	mTT
盳	mTTH
芒	mTy
恾	mT'yY
硭	mTys
牤	mTg
虻	mTk
杧	mTc
杗	mTcH
门	m8
門	m8
焖	xm8
燜	xm8
钔	Nm8
鍆	Nm8
闽	km8
閩	km8
闷	Fm8
悶	Fm8
阌	Tm8
閿	Tm8
扪	8m8
捫	8m8
们	Vm8
們	Vm8
冂	Hm8
冥	m8H
暝	m8b
幂	m8p
冪	m8p
蓂	m8y
螟	m8k
榠	m8c
溟	m8E
嫇	m8A
慏	m8Y
瞑	m8T
蒙	m3
曚	bm3
獴	vm3
檬	cm3
朦	em3
濛	Em3
懞	Ym3
幪	pm3
㠓	wm3
礞	sm3
艨	qm3
鹲	nm3
蠓	km3
矇	Tm3
孟	m3H
锰	m3N
錳	m3N
勐	m3l
蜢	m3k
猛	m3v
掹	m38
艋	m3q
皿	m34
每	mV
莓	ymV
酶	4mV
梅	cmV
霉	6mV
敏	rmV
慜	FmV
鳘	BmV
昧	mVb
魅	mVt
