巴	ba
鎩	Nsa
刹	lsa
殺	7sa
樧	csa
脎	esa
摋	8sa
煞	Hsa
沙	saH
莎	say
砂	sas
痧	sat
粆	sah
猀	sav
鲨	saB
鯊	saB
桫	sac
桬	sacH
裟	sau
纱	saa
紗	saa
唦	sao
娑	saA
挲	sa8
挱	sa8H
所	so
𡕩	soH
羧	sog
狻	sov
酸	so4
梭	soc
唆	soo
睃	soT
傻	soV
佘	se
赊	xse
賒	xse
畲	4se
滠	seE
灄	seE
慑	seY
懾	seY
摄	se8
攝	se8
是	sE
遈	zsE
匙	lsE
鳀	BsE
鯷	BsE
寔	fsE
禔	usE
湜	EsE
𬤊	isE
諟	isE
石	sEH
炻	sEx
跖	sED
硕	sEr
碩	sEr
鼫	sEv
柘	sEc
祏	sEu
佦	sEV
术	sA
述	zsA
術	zsAH
秫	hsA
怸	FsA
沭	EsA
怵	YsA
䟣	DsA
𬬸	NsA
鉥	NsA
芧	sAy
舒	sA4
纾	sAa
紓	sAa
抒	sA8
杼	sAc
序	sA5
垿	sAd
帅	sY
帥	sY
𡨄	sYH
赛	sYx
賽	sYx
塞	sYd
噻	sYo
寒	sYE
簺	sY2
僿	sYV
帚	sL
妇	AsL
婦	AsL
扫	8sL
掃	8sL
埽	dsL
召	sLH
苕	sLy
劭	sLl
髫	sLj
龆	sLjH
𬬿	sLN
鉊	sLN
韶	sLi
柖	sLc
绍	sLa
紹	sLa
玿	sL3
佋	sLV
邵	sL1
叟	s6
飕	bs6
颼	bs6
艘	qs6
瞍	Ts6
瘦	ts6
螋	ks6
锼	Ns6
廋	5s6
嗖	os6
膄	es6
溲	Es6
嫂	As6
馊	Ls6
餿	Ls6
搜	8s6
傁	Vs6
𫍲	is6
謏	is6
受	s6H
绶	s6a
綬	s6a
涭	s6E
授	s68
山	s2
旵	bs2
屾	ws2
舢	qs2
灿	xs2
辿	zs2
圸	ds2
疝	ts2
汕	Es2
讪	is2
訕	is2
册	s2H
跚	s2D
删	s2l
栅	s2c
姗	s2A
珊	s23
桑	sT
磉	ssT
颡	rsT
顙	rsT
槡	csT
嗓	osT
搡	8sT
丧	tsT
喪	tsT
尚	sTH
赏	sTx
賞	sTx
償	sT'xV
埫	sTd
裳	sTu
绱	sTa
緔	sTa
耥	sT7
牚	sTj
撑	sT88
幥	sTp
礃	sTs
掌	sT8
申	s8
坤	ds8
䰠	ts8
𬬹	Ns8
鉮	Ns8
砷	ss8
柛	cs8
神	us8
绅	as8
紳	as8
呻	os8
胂	es8
妽	As8
抻	8s8
眒	Ts8
珅	3s8
伸	Vs8
訷	is8
审	s8H
審	s8H
覾	s8r
渖	s8E
瀋	s8E
婶	s8A
嬸	s8A
束	s3
速	zs3
竦	fs3
悚	Ys3
涑	Es3
捒	8s3
𫗧	Ls3
餗	Ls3
觫	7s3
崧	s3w
菘	s3y
颂	s3r
頌	s3r
松	s3c
鬆	s3j
淞	s3E
凇	s3Ec
忪	s3Y
倯	s3V
讼	s3i
訟	s3i
遂	sV
燧	xsV
邃	fsV
隧	1sV
璲	3sV
襚	usV
旞	fsVH
𫟦	qsV
穟	hsV
𬭼	NsV
隋	sVH
髓	sVj
随	sVz
隳	sVF
隨	sVz
辱	rua
褥	urua
缛	arua
縟	arua
嗕	orua
溽	Erua
媷	Arua
傉	Vrua
搙	8rua
耨	7rua
蓐	yrua
臿	ruaH
锸	ruaN
鍤	ruaN
插	rua8
偛	ruaV
歃	ruar
喢	ruao
㞚	ruap
弱	ruo
嵶	wruo
蒻	yruo
鶸	nruo
溺	Eruo
搦	8ruo
竹	ruoH
竺	ruo2
筑	ruo8
笃	ruog
篤	ruog
築	ruoc
身	rue
㑗	Vrue
㧶	8rue
舍	rueH
啥	rueo
倽	rueV
涻	rueE
捨	rue8
猞	ruev
騇	rueg
野	ruY
墅	druY
嘢	oruY
埜	cruY
啻	ruYH
膪	ruYe
適	ruYz
适	ruYz
擿	ruY'z8
蹢	ruYD
摘	ruY8
谪	ruYi
謫	ruYi
早	ruL
草	yruL
騲	gruL
愺	YruL
枣	HruL
棗	HruL
烧	ruLx
焼	ruLx
燒	ruLx
荛	ruLy
蕘	ruLy
穘	ruLh
桡	ruLc
橈	ruLc
襓	ruLu
绕	ruLa
繞	ruLa
娆	ruLA
嬈	ruLA
饶	ruLL
饒	ruLL
挠	ruL8
撓	ruL8
隢	ruL1
蛲	ruLk
蟯	ruLk
铙	ruLN
鐃	ruLN
周	ru6
週	zru6
啁	oru6
倜	Vru6
郮	1ru6
淍	Eru6
翢	nru6
赒	xru6
賙	xru6
轴	ru6q
軸	ru6q
舳	ru6qH
宙	ru6f
胄	ru6e
妯	ru6A
然	ru2
燃	xru2
橪	cru2
嘫	oru2
撚	8ru2
顽	ru2r
頑	ru2r
朊	ru2e
玩	ru23
阮	ru21
软	ruT
軟	ruT
嫩	AruT
媆	AruT
堧	ruTd
耎	HruT
臧	ruTH
臟	ruTe
贓	ruTx
藏	ruTy
蔵	ruTy
贜	ruTx
壬	ru8
赁	xru8
賃	xru8
荏	yru8
衽	uru8
纴	aru8
紝	aru8
妊	Aru8
姙	AVru8
饪	Lru8
飪	Lru8
任	Vru8
恁	Fru8
芿	ru8y
辸	ru8z
礽	ru8u
扔	ru88
仍	ru8V
荣	ru3
榮	ru3
嵘	wru3
嶸	wru3
爃	xru3
溁	Eru3
濚	Eru3
蝾	kru3
蠑	kru3
戎	ru3H
毧	ru3j
绒	ru3a
絨	ru3a
娀	ru3A
狨	ru3v
闰	ruV
閏	ruV
閠	ruV
橍	cruV
膶	eruV
润	EruV
潤	EruV
瞤	TruV
觜	ruVH
嘴	ruVo
茶	ra
嗏	ora
搽	8ra
畟	raH
稷	rah
谡	rai
謖	rai
左	ro
咗	oro
佐	Vro
若	roH
惹	roF
鰙	roB
楉	roc
渃	roE
婼	roA
箬	ro2
偌	roV
鄀	ro1
耳	re
毦	jre
衈	jreH
茸	yre
駬	gre
铒	Nre
鉺	Nre
弭	lre
刵	lreH
栮	cre
咡	ore
洱	Ere
饵	Lre
餌	Lre
挕	8re
珥	3re
佴	Vre
誀	ire
聻	tre
恥	Fre
埶	reH
爇	rexy
蓺	rey
热	rex
熱	rex
势	rel
勢	rel
亵	reu
褻	reu
设	rei
設	rei
日	rE
鈤	NrE
驲	grE
馹	grE
衵	urE
汨	ErE
氜	6rE
矢	rEH
稚	rEh
雉	rE7
薙	rEy
兕	rEp
如	rA
帤	prA
挐	8rA
㾒	trA
茹	yrA
铷	NrA
銣	NrA
恕	FrA
絮	arA
洳	ErA
筎	2rA
侞	VrA
入	rAH
曘	rAb
嶿	rAw
燸	rAx
薷	rAy
孺	rAVH
颥	rAr
蠕	rAk
襦	rAu
𦈡	rAa
嚅	rAo
濡	rAE
嬬	rAA
擩	rA8
瓀	rA3
儒	rAV
齿	rY
齒	rY
啮	orY
嚙	orY
碊	rYs
残	rYt
殘	rYt
刬	rYl
剗	rYl
盏	rY4
盞	rY4
栈	rYc
棧	rYc
琖	rY3
号	rL
號	rL
呺	orL
饕	LrL
鸮	nrL
鴞	nrL
枵	crL
豕	rLH
蕤	rLy
豳	rLw
燹	rLx
逐	rLz
豚	rLe
圂	rLm
溷	rLE
柔	r6
韖	pr6
𫐓	qr6
輮	qr6
鞣	xr6
煣	xr6H
葇	yr6
蹂	Dr6
鍒	Nr6
騥	gr6
蝚	kr6
糅	hr6
猱	vr6
楺	cr6
腬	er6
渘	Er6
媃	Ar6
揉	8r6
瑈	3r6
齱	r6j
丛	r6y
叢	r6y
骤	r6g
驟	r6g
鲰	r6B
鯫	r6B
棸	r6c
緅	r6a
娵	r6A
箃	r62
掫	r68
陬	r61
聚	r6V
鄹	r6V1
诹	r6i
諏	r6i
冉	r2
髯	jr2
苒	yr2
䎃	nr2
蚺	kr2
畘	4r2
呥	or2
姌	Ar2
聃	Tr2
抩	8r2
珃	3r2
廛	r2H
躔	r2D
壥	r2d
缠	r2a
纏	r2a
瀍	r2E
上	rT
忐	FrT
仩	VrT
圵	drT
让	irT
鬤	rTj
爙	rTx
蘘	rTy
躟	rTD
勷	rTl
壤	rTd
蠰	rTk
穰	rTh
獽	rTv
禳	rTu
𬙋	rTa
纕	rTa
嚷	rTo
瀼	rTE
孃	rTA
嬢	rTA
懹	rTY
瓤	rT2
攘	rT8
儴	rTV
譲	rTi
讓	rTi
刃	r8
纫	ar8
紉	ar8
韧	xr8
韌	xr8
靭	xr8
靱	xr8
轫	qr8
軔	qr8
忍	Fr8
讱	ir8
訒	ir8
認	iFr8
𫲶	fr8
仞	Vr8
人	r8H
亻	r8H
闪	r8m
閃	r8m
芢	r8y
件	r8g
秂	r8h
年	r8h
魜	r8B
朲	r8c
氽	r8E
仁	r8p
佞	r8A
认	r8i
容	r3
熔	xr3
蓉	yr3
镕	Nr3
塎	dr3
榕	cr3
溶	Er3
嫆	Ar3
搈	8r3
瑢	3r3
傛	Vr3
冗	r3H
宂	r3H
坈	r3d
沉	r3E
内	rV
芮	yrV
蚋	krV
枘	crV
汭	ErV
笍	2rV
抐	8rV
肉	rVH
支	Hua
𨙸	1Hua
跂	DHua
𫠆	rHua
頍	rHua
芰	yHua
庋	5Hua
翅	nHua
豉	hHua
枝	cHua
吱	oHua
肢	eHua
忮	YHua
执	HuaH
執	HuaH
垫	Huad
墊	Huad
挚	Hua8
摯	Hua8
蛰	Huak
蟄	Huak
贽	Huax
贄	Huax
鸷	Huan
鷙	Huan
絷	Huaa
縶	Huaa
十	Huo
针	NHuo
針	NHuo
叶	oHuo
汁	EHuo
计	iHuo
計	iHuo
什	VHuo
蚩	HuoH
滍	HuoE
嗤	Huoo
媸	HuoA
尸	Hue
屍	pHue
屃	xHue
屓	xHue
鸤	nHue
鳲	nHue
屎	hHue
朿	HueH
棘	Hue2H
洓	HueE
莿	Huely
刺	Huel
憡	HueY
策	Hue2
箣	Hue'l2
拺	Hue8
兹	HuY
嵫	wHuY
嗞	oHuY
滋	EHuY
孳	VHuY
甾	HuYH
锱	HuYN
錙	HuYN
鲻	HuYB
鯔	HuYB
崰	HuYw
辎	HuYq
輜	HuYq
椔	HuYc
缁	HuYa
緇	HuYa
淄	HuYE
旨	HuL
酯	4HuL
脂	eHuL
恉	YHuL
指	8HuL
诣	iHuL
詣	iHuL
龇	HuLj
齜	HuLj
髭	HuLjH
赀	HuLx
貲	HuLx
茈	HuLy
𫚖	HuLB
紫	HuLa
呲	HuLo
呰	HuLoH
眦	HuLT
訾	HuLi
止	Hu6
芷	yHu6
趾	DHu6
址	dHu6
耻	FHu6
祉	uHu6
沚	EHu6
扯	8Hu6
企	VHu6
志	Hu6H
痣	Hu6t
梽	Hu6c
娡	Hu6A
俧	Hu6V
誌	Hu6i
詹	Hu2
嶦	wHu2
薝	yHu2
噡	oHu2
憺	YHu2
瞻	THu2
谵	iHu2
譫	iHu2
膽	eHu2
澹	EHu2
儋	VHu2
擔	8Hu2
展	Hu2H
榐	Hu2c
搌	Hu28
辗	Hu2q
輾	Hu2q
蹍	Hu2D
寺	HuT
恃	YHuT
侍	VHuT
诗	iHuT
詩	iHuT
邿	1HuT
峙	wHuT
畤	4HuT
示	HuTH
呩	HuTo
视	HuTT
視	HuTT
祁	HuT1
䏡	HuTe
真	Hu8
鬒	jHu8
镇	NHu8
鎮	NHu8
稹	hHu8
禛	uHu8
缜	aHu8
縝	aHu8
嗔	oHu8
嫃	AHu8
慎	YHu8
瑱	3Hu8
蓁	Hu8h
臻	Hu84
榛	Hu8c
搸	Hu88
瑧	Hu83
婴	Hu3
嬰	Hu3
鹦	nHu3
鸚	nHu3
瘿	tHu3
癭	tHu3
罂	7Hu3
罌	7Hu3
樱	cHu3
櫻	cHu3
缨	aHu3
纓	aHu3
嘤	oHu3
嚶	oHu3
孆	AHu3
撄	8Hu3
攖	8Hu3
璎	3Hu3
瓔	3Hu3
盈	Hu3H
戤	Hu3l
楹	Hu3c
溋	Hu3E
次	HuV
茨	yHuV
垐	dHuV
瓷	7HuV
栨	cHuV
絘	aHuV
佽	VHuV
粢	hHuV
趑	DHuV
辝	HuV4
梓	HuVc
榟	HuVfc
宰	HuVf
滓	HuVE
辞	HuVL
辭	HuVL
知	Ha
智	bHa
痴	tHa
蜘	kHa
踟	DHa
椥	cHa
倁	VHa
峙	Haw
痔	Hat
庤	Ha5
持	Ha8
跱	HaD
司	Ho
嗣	4Ho
柌	cHo
祠	uHo
呞	oHo
泀	EHo
饲	LHo
飼	LHo
笥	2Ho
伺	VHo
孠	VHoH
词	iHo
詞	iHo
㟃	wHo
时	HoH
時	HoH
莳	Hoy
蒔	Hoy
溡	HoE
嵵	How
埘	Hod
塒	Hod
鲥	HoB
鰣	HoB
四	He
驷	gHe
駟	gHe
柶	cHe
泗	EHe
瘈	Het
瘛	HeF
吃	Heo
喫	Heo
质	HE
質	HE
劕	lHE
踬	DHE
躓	DHE
锧	NHE
鑕	NHE
𬃊	cHE
櫍	cHE
失	HEH
帙	HEp
秩	HEh
铁	HEN
鉄	HEN
鉃	HEN
鐵	HEN
㝉	HA
纻	aHA
紵	aHA
𬣞	iHA
詝	iHA
贮	xHA
貯	xHA
苎	yHA
苧	yHA
伫	VHA
佇	VHA
猪	HAH
豬	HAH
橥	HAc
櫫	HAc
瀦	HAE
潴	HAE
至	HY
绖	aHY
絰	aHY
晊	bHY
痓	tHY
轾	qHY
輊	qHY
铚	NHY
銍	NHY
致	rHY
緻	arHY
蛭	kHY
桎	cHY
室	fHY
姪	AHY
侄	VHY
郅	1HY
𠂔	HYH
胏	HYe
笫	HY2
秭	HYh
姊	HYA
子	HL
囝	mHL
芓	yHL
孜	rHL
矷	sHL
釨	NHL
牸	gHL
秄	hHLH
籽	hHL
恏	FHL
耔	7HL
虸	kHL
杍	cHL
茡	yfHL
字	fHL
吇	oHL
孖	2HL
仔	VHL
好	AHL
䒵	yAHL
薅	yAHL
孬	bHL
资	HLx
資	HLx
恣	HLF
咨	HLo
姿	HLA
谘	HLi
諮	HLi
直	H6
埴	dH6
稙	hH6
殖	tH6
置	4H6
惪	FH6
德	FH6
植	cH6
淔	EH6
矗	3H6
值	VH6
徝	zH6
氏	H6H
帋	H6p
坁	H6d
祇	H6u
衹	H6u
纸	H6a
紙	H6a
舐	H6L
扺	H68
𬨂	H6q
軝	H6q
芪	H6y
斩	H2
斬	H2
暂	bH2
暫	bH2
崭	wH2
嶄	wH2
錾	NH2
鏨	NH2
鏩	NH2
慙	FH2
惭	YH2
慚	YH2
摲	8H2
昝	H2H
糌	H2h
咱	H2o
喒	H2o
揝	H28
偺	H2V
式	HT
弑	tHT
拭	8HT
试	iHT
試	iHT
轼	qHT
軾	qHT
栻	cHT
市	HTH
闹	HTm
鬧	HTm
铈	HTN
鈰	HTN
柿	HTc
柹	HTc
争	H8
䦶	mH8
䦛	mH8
峥	wH8
踭	DH8
铮	NH8
錚	NH8
狰	vH8
筝	2H8
睁	TH8
挣	8H8
琤	3H8
诤	iH8
諍	iH8
帪	H8p
屒	H8pH
赈	H8x
賑	H8x
桭	H8c
震	H86
振	H88
侲	H8V
应	H3
應	FH3
鹰	nH3
鷹	nH3
膺	eH3
曾	H3H
赠	H3x
贈	H3x
熷	H3xH
䎖	H3n
磳	H3s
增	H3d
罾	H34
甑	H37
矰	H37H
橧	H3c
缯	H3a
繒	H3a
囎	H3o
憎	H3Y
璔	H33
譄	H3i
此	HV
皉	bHV
些	pHV
茈	yHV
雌	nHV
跐	DHV
砦	sHV
疵	tHV
庛	5HV
柴	cHV
偨	VcHV
呲	oHV
呰	oHVH
啙	ooHV
泚	EHV
玼	3HV
佌	VHV
兹	HVH
茲	HVH
鹚	HVn
鷀	HVn
磁	HVs
礠	HVFs
镃	HVN
螆	HVk
糍	HVh
慈	HVF
甆	HV7
濨	HVE
嬨	HVA
及	Na
岌	wNa
趿	DNa
靸	xNa
吸	oNa
芨	yNa
圾	dNa
极	cNa
级	aNa
級	aNa
汲	ENa
笈	2Na
彶	zNa
急	FNa
㤂	FNa
㴔	EFNa
喼	oFNa
伋	VNa
其	NaH
帺	Nap
基	Nad
箕	Na2
𫓹	NaN
錤	NaN
吉	No
黠	bNo
髻	jNo
咭	oNo
姞	ANo
佶	VNo
祭	NoH
际	No1
際	No1
漈	NoE
傺	NoV
瘵	Not
磜	Nos
𮀔	Nos
穄	Noh
𬶭	NoB
鰶	NoB
角	Ne
筋	lNe
桷	cNe
甪	HNe
唶	Neo
借	NeV
藉	Ney
疑	NE
嶷	wNE
礙	sNE
癡	tNE
凝	ENE
懝	YNE
擬	8NE
儗	VNE
薿	yNE
迹	NEz
蹟	NEz
跡	NEz
积	NEh
積	NEh
廭	NE5
绩	NEa
績	NEa
碛	NEs
磧	NEs
𪟝	NEl
勣	NEl
𫌀	NEu
襀	NEu
句	NA
枸	cNA
蒟	yNA
驹	gNA
駒	gNA
泃	ENA
拘	8NA
痀	tNA
匊	NAH
巈	NAw
鞠	NAx
菊	NAy
曲	NAh
麹	NAh
麴	NAh
椈	NAc
婅	NAA
掬	NA8
矣	NY
欸	rNY
埃	dNY
唉	oNY
涘	ENY
娭	ANY
挨	8NY
俟	VNY
诶	iNY
耤	NYH
藉	NYy
籍	NY2
齐	NL
齊	NL
荠	yNL
薺	yNL
脐	eNL
臍	eNL
侪	VNL
儕	VNL
戚	NLH
蹙	NLD
顣	NLr
墄	NLd
槭	NLc
嘁	NLo
慽	NLY
傶	NLV
摵	NL8
气	N6
気	N6
氣	N6
汽	EN6
忾	YN6
愾	YN6
饩	LN6
餼	LN6
炁	xN6
岓	N6w
蕲	N6y
蘄	N6y
颀	N6r
頎	N6r
圻	N6d
祈	N6u
听	N6o
沂	N6E
戒	N2
械	cN2
祴	uN2
悈	YN2
诫	iN2
誡	iN2
席	N2H
褯	N2u
蓆	N2y
宜	NT
谊	iNT
誼	iNT
𦣞	NTH
颐	NTr
頤	NTr
熙	NTx
宧	NTf
姬	NTA
茝	NTy
井	N8
进	zN8
坓	dN8
耕	7N8
宑	fN8
肼	eN8
汫	EN8
妌	AN8
琎	3N8
璡	3N8
阱	1N8
讲	iN8
畊	4N8
丼	HN8
形	aN8
邢	1N8H
刑	lN8
侀	VN8
㼛	7N8H
型	dN8
硎	sN8
荆	yN8
铏	NlN8
钘	NN8
鈃	NN8
睛	N8T
靓	N8TH
靚	N8TH
菁	N8y
䴖	N8n
锖	N8N
精	N8h
靖	N8f
腈	N8e
婧	N8A
箐	N82
鼱	N8v
儬	N8V
尽	N3
盡	N3
烬	xN3
燼	xN3
赆	xN3H
贐	xN3H
荩	yN3
藎	yN3
嚍	oN3
嬧	AN3
侭	VN3
儘	VN3
津	EN3
浕	EN3H
濜	EN3H
珒	3N3
今	N3H
衿	N3u
妗	N3A
矜	N37
酓	N34
盦	N344
㜝	N3'4A
饮	N3r
飲	N3r
一	NV
殪	tNV
懿	FNV
弌	lNV
壹	fNV
噎	oNV
巾	NVH
冀	N1
骥	gN1
驥	gN1
疾	N1H
嫉	N1A
蒺	N1y
己	Nia
忌	FNia
跽	DNia
芑	yNia
屺	wNia
纪	aNia
紀	aNia
忋	YNia
记	iNia
記	iNia
屐	Niap
岐	Niaw
歧	NiaD
妓	NiaA
技	Nia8
伎	NiaV
季	Nio
悸	YNio
㳵	ENio
㻑	3Nio
咠	NioH
辑	Nioq
輯	Nioq
蕺	Nioly
葺	Nioy
戢	Niol
楫	Nioc
缉	Nioa
緝	Nioa
揖	Nio8
偮	NioV
爵	Nie
嚼	oNie
灂	ENie
皭	bNie
爝	xNie
穱	hNie
矍	NieH
匷	Niem
䦆	NieN
彏	Niel
玃	Niev
蠼	Niek
戄	NieY
攫	Nie8
𨟠	Nie1
灈	NieE
渠	NiA
佢	VNiA
蕖	yNiA
榘	7NiA
磲	sNiA
且	NiAH
岨	NiAw
砠	NiAs
龃	NiAj
齟	NiAj
苴	NiAy
雎	NiAn
坥	NiAd
驵	NiAg
駔	NiAg
疽	NiAt
狙	NiAv
咀	NiAo
沮	NiAE
怚	NiAY
即	NiY
卿	gNiY
堲	dNiY
鲫	BNiY
鯽	BNiY
唧	oNiY
奇	NiYH
剞	NiYl
骑	NiYg
騎	NiYg
畸	NiY4
寄	NiYf
踦	NiYD
䓫	NiYy
犄	NiYg
羁	NiYx4
羈	NiYx4
妻	NiL
郪	1NiL
凄	ENiL
萋	yNiL
耆	NiLH
鳍	NiLB
鰭	NiLB
榰	NiLc
愭	NiLY
蓍	NiLy
嗜	NiLo
奇	Ni6
旖	fNi6
觭	7Ni6
徛	zNi6
崎	wNi6
嵜	wNi6H
𬺈	jNi6
齮	jNi6
欹	rNi6
锜	NNi6
錡	NNi6
埼	dNi6
骑	gNi6
騎	gNi6
绮	aNi6
綺	aNi6
婍	ANi6
掎	8Ni6
琦	3Ni6
七	Ni6H
叱	Ni6o
齔	Ni6j
柒	Ni6c
㲺	Ni6E
安	Ni2
峖	wNi2
鞍	xNi2
荌	yNi2
铵	NNi2
銨	NNi2
垵	dNi2
𩽾	BNi2
鮟	BNi2
桉	cNi2H
案	cNi2
咹	oNi2
胺	eNi2
洝	ENi2
氨	6Ni2
按	8Ni2
侒	VNi2
暗	Ni2b
黯	Ni2bH
闇	Ni2m
萻	Ni2y
罯	Ni24
腤	Ni2e
揞	Ni28
偣	Ni2V
谙	Ni2i
諳	Ni2i
㛺	Ni2A
以	NiT
苡	yNiT
苢	yNiT
姒	ANiT
拟	8NiT
似	VNiT
耜	7NiT
佀	VNiT
泤	ENiT
贻	NiTx
貽	NiTx
冶	NiTE
怡	NiTY
饴	NiTL
飴	NiTL
佁	NiTV
诒	NiTi
詒	NiTi
景	Ni8
影	aNi8
憬	YNi8
璟	3Ni8
暻	bNi8
静	Ni8h
净	Ni8E
瀞	Ni8'hE
婙	Ni8A
浄	Ni8E
竫	Ni8f
京	Ni3
黥	bNi3
弶	lNi3
勍	lNi3H
猄	xNi3
麖	vNi3H
鲸	BNi3
鯨	BNi3
婛	ANi3
惊	YNi3
倞	VNi3
堇	Ni3H
勤	Ni3l
殣	Ni3t
墐	Ni3d
廑	Ni35
厪	Ni35H
槿	Ni3c
嫤	Ni3A
觐	Ni3T
覲	Ni3T
瑾	Ni33
馑	Ni3L
饉	Ni3L
仅	Ni3V
僅	Ni3V
谨	Ni3i
謹	Ni3i
慬	Ni3Y
鄞	Ni31
医	NiV
醫	4NiV
翳	nNiV
繄	aNiV
嫕	AFNiV
异	NiVH
異	NiVH
翼	NiVn
潩	NiVE
廙	NiV5
剌	la
瘌	tla
蝲	kla
辣	hla
𬶟	Bla
喇	ola
揦	8la
旯	Hla
菈	lay
砬	las
垃	lad
柆	lac
啦	lao
鞡	lax
拉	la8
飒	lab
颯	lab
罗	lo
羅	lo
曪	blo
萝	ylo
蘿	ylo
逻	zlo
邏	zlo
锣	Nlo
鑼	Nlo
猡	vlo
玀	vlo
椤	clo
欏	clo
啰	olo
囉	olo
箩	2lo
籮	2lo
儸	Vlo
峈	low
烙	lox
雒	lon
硌	los
骆	log
駱	log
垎	lod
辂	loq
輅	loq
酪	lo4
络	loa
絡	loa
咯	loo
洛	loE
洜	loEH
饹	loL
餎	loL
落	loy
珞	lo3
詻	loi
乐	le
樂	le
轹	qle
轢	qle
泺	Ele
濼	Ele
𬍛	3le
瓅	3le
跞	Dle
躒	Dle
栎	cle
櫟	cle
鱳	Ble
艻	ley
劣	let
牞	leg
叻	leo
肋	lee
氻	leE
泐	leE1
玏	le3
仂	leV
阞	le1
里	lE
锂	NlE
鋰	NlE
狸	vlE
厘	5lE
喱	o5lE
鲤	BlE
鯉	BlE
裡	ulE
裏	ulE
哩	olE
浬	ElE
娌	AlE
悝	YlE
理	3lE
俚	VlE
李	lEH
漦	lEE
嫠	lEA
剺	lEl
孷	lEV
釐	lEr
录	lA
菉	ylA
逯	zlA
碌	slA
録	NlA
剥	llA
剝	llA
𫘧	glA
椂	clA
禄	ulA
绿	alA
緑	alA
渌	ElA
娽	AlA
氯	6lA
箓	2lA
籙	2lA
琭	3lA
卤	lAH
鹵	lAH
塷	lAd
滷	lAE
卣	lAo
窳	lAof
蓏	lAoy
来	lY
來	lY
崃	wlY
崍	wlY
赉	xlY
賚	xlY
莱	ylY
萊	ylY
铼	NlY
錸	NlY
徕	zlY
徠	zlY
勑	llY
慭	FlY
憖	FlY
庲	5lY
梾	clY
棶	clY
唻	olY
涞	ElY
淶	ElY
婡	AlY
睐	TlY
睞	TlY
俫	VlY
倈	VlY
吏	lYH
使	lYV
事	lY8
剚	lY8l
倳	lY8V
老	lL
峔	wlL
荖	ylL
硓	slL
铑	NlL
銠	NlL
粩	hlL
狫	vlL
鮱	BlL
栳	clL
咾	olL
姥	AlL
恅	YlL
珯	3lL
佬	VlL
劳	lLH
勞	lLH
崂	lLw
嶗	lLw
铹	lLN
鐒	lLN
𫭼	lLd
𡑍	lLd
痨	lLt
癆	lLt
荦	lLg
犖	lLg
憥	lLF
耢	lL7
耮	lL7
橯	lLc
唠	lLo
嘮	lLo
朥	lLe
涝	lLE
澇	lLE
憦	lLY
捞	lL8
撈	lL8
僗	lLV
娄	l6
婁	l6
嵝	wl6
嶁	wl6
㟺	wl6
髅	jl6
髏	jl6
蒌	yl6
蔞	yl6
镂	Nl6
鏤	Nl6
𪣻	dl6
塿	dl6
瘘	tl6
瘻	tl6
耧	7l6
耬	7l6
甊	7l6H
蝼	kl6
螻	kl6
楼	cl6
樓	cl6
窭	fl6
寠	fl6
𦝼	el6
膢	el6
喽	ol6
嘍	ol6
溇	El6
漊	El6
篓	2l6
簍	2l6
䁖	Tl6
瞜	Tl6
搂	8l6
摟	8l6
偻	Vl6
僂	Vl6
屚	l6H
漏	l6E
陋	l61
男	l2
侽	Vl2
娚	Al2
嬲	ll2
莮	yl2
阑	l2H
闌	l2H
烂	l2x
爛	l2x
爤	l2x
兰	l2y
蘭	l2y
斓	l2r
斕	l2r
镧	l2N
鑭	l2N
栏	l2c
欄	l2c
囒	l2o
澜	l2E
瀾	l2E
灡	l2E
孄	l2A
籣	l22
拦	l28
攔	l28
谰	l2i
讕	l2i
襕	l2u
襴	l2u
郎	lT
𨱍	NlT
鎯	NlT
螂	klT
廊	5lT
榔	clT
啷	olT
嫏	AlT
瑯	3lT
㫰	lTb
阆	lTm
閬	lTm
崀	lTw
烺	lTx
莨	lTy
硠	lTs
斏	lTr
欴	lTrH
锒	lTN
鋃	lTN
勆	lTl
埌	lTd
稂	lTh
狼	lTv
桹	lTc
哴	lTo
朖	lTe
浪	lTE
蒗	lTEy
筤	lT2
琅	lT3
俍	lTV
禀	l8
癝	tl8
廪	5l8
檩	cl8
凛	El8
懔	Yl8
𬙙	l8H
塄	l8d
愣	l8Y
楞	l8c
龙	l3
龍	l3
昽	bl3
曨	bl3
巃	wl3
茏	yl3
蘢	yl3
砻	sl3
礱	sl3
垄	dl3
壟	dl3
垅	dl3
壠	dl3
庞	5l3
龐	5l3
栊	cl3
櫳	cl3
宠	fl3
寵	fl3
袭	ul3
襲	ul3
咙	ol3
嚨	ol3
胧	el3
朧	el3
泷	El3
瀧	El3
笼	2l3
籠	2l3
龖	2l3H
聋	Tl3
聾	Tl3
眬	Tl3H
矓	Tl3H
拢	8l3
攏	8l3
珑	3l3
瓏	3l3
龘	3l3H
陇	1l3
隴	1l3
詟	il3
讋	il3
弄	l3H
梇	l3c
哢	l3o
雷	lV
靁	lV
蕾	ylV
礌	slV
镭	NlV
鐳	NlV
癗	tlV
檑	clV
鱩	BlV
擂	8lV
类	lVH
類	lVH
頪	lVh
纇	lVa
旅	l1
膐	el1
膂	el1
𤔔	l1H
乱	l1l
亂	l1l
覼	l1T
覶	l1T
系	lia
鲧	Blia
鯀	Blia
喺	olia
係	Vlia
鼠	liaH
邋	liaz
镴	liaN
鑞	liaN
蜡	liak
